dep_id	url	mrds_id	mas_id	site_name	latitude	longitude	region	country	state	county	com_type	commod1	commod2	commod3	oper_type	dep_type	prod_size	dev_stat	ore	gangue	other_matl	orebody_fm	work_type	model	alteration	conc_proc	names	ore_ctrl	reporter	hrock_unit	hrock_type	arock_unit	arock_type	structure	tectonic	ref	yfp_ba	yr_fst_prd	ylp_ba	yr_lst_prd	dy_ba	disc_yr	prod_yrs	discr	score
10058807	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10058807"	TC05171		"La Cortadera Y Atacama"	-28.90303	-71.32511	SA	Chile			M	Copper			Unknown	Vein	Y	"Past Producer"					Unknown						"Williams, William C."							"""DIAZ, ET AL., 1980, MAPA METALOGENICO PRONOSTICO DE LA III REGION: CORPORACION DE FOMENTO DE LA PRODUCCION, SANTIAGO (5 VOLS.)""CIMRI"									D
10058999	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10058999"	TC05441		"Emilia, San Jorge, Atacama"	-26.78081	-69.94952	SA	Chile			M	"Copper, Gold"			Unknown	Vein	S	"Past Producer"	Gold				Underground		Argillic				"Williams, William C."		Andesite	"Bandurrias Formation"	Andesite			"DIAZ, ET AL., 1980, MAPA METALOGENICO PRONOSTICO DE LA III REGION: CORPORACION DE FOMENTO DE LA PRODUCCION, SANTIAGO (5 VOLS.).FLORES, H. Y RUIZ, C., 1942, DEMIPE (INEDITO).SALINAS, M., 1973, IIG (INEDITO).CIMRI"				1979					C
10078155	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10078155"	W026327		Bandurrias-Atacama	-27.85997	-70.38286	SA	Chile			M	Iron			Unknown		S	"Past Producer"		"Garnet, Pyrite"		"IRREGULAR FLOWS"							"Cooper, Margaret (Shaffer, Glenn L.), Williams, William C."		"Marble,Limestone"		Diorite			"RUIZ FULLER, CARLOS, 1965 , GEOLOGIA Y YACIMIENTOS METALIFEROS DE CHILE (GEOLOGY AND METAL DEPOSITS OF CHILE):  CHILE INST. GEOL. INV., 305 P., TABLES.  (SPANISH) ( 430 ) R858GALVARADO, BENJAMIN, 1970 , IRON ORE DEPOSITS OF SOUTH AMERICA, IN SURVEY OF WORLD IRON ORE RESOURCES -- OCCURRENCE AND APPRAISAL:  NEW YORK, UNITED NATIONS, P. 302 - 380 .  433 QUN22SRUIZ, C. AND PEEBLES, F., 1988, YACIMIENTOS METALIFEROS DE CHILE: SANTIAGO, 334 P.KAISER, L., 1943, INFORME GEOLOGICO SOBRE EL YACIMIENTO DE FE DE BANDURRIAS:  INEDITO (DEMIPE).DIAZ, ET AL., 1980, MAPA METALOGENICO PRONOSTICO DE LA III REGION:  CORPORACION DE FOMENTO DE LA PRODUCCION, SANTIAGO (5 VOLS.)CIMRIALVARADO, 1970"									B
10230880	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10230880"	ISM0508	3370090046	"Salar De Atacama Li"	-23.33082	-68.28279	SA	Chile	Atacama		B	"Potassium, Lithium"			"Brine Operation"			Plant					Underground				Minsal		"Bleiwas, Donald"							"THE MINING JOURNAL, MINING WEEK, ""MINSAL POTASH DEVELOPMENTIMMINENT"", MAY 6, 1994, PAGE 326."		1984				1962			D
10279731	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10279731"		3370090045	"Salar De Atacama K2o"	-23.49752	-68.24949	SA	Chile	Atacama		B	"Boron-Borates, Potassium"		Lithium	Surface			Plant					Surface				"Minsal ?"		"Buckingham, David A."							"MINING JOURNAL, MINING WEEK, ""MINSAL POSASH DEVELOPMENTIMMINENT"", MAY 6, 1994, PAGE 326."		1988				1969			D
60000439	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=60000439"	I000198		"Salar De Atacama"	-23.49752	-68.24949	SA	Chile			B	"Lithium, Potassium"	Boron-Borates	"Gypsum-Anhydrite, Halite"	Unknown	"LACUSTRINE EVAPORITE, BRINE"	L	Producer																		"INDUSTRIAL MINERALS, 1990, WORLD OF MINERALS:  NO. 279, P. 8.CROZIER, R.D., 1986, LITHIUM: RESOURCES AND PROSPECTS:  MINING MAGAZINE, V. 154, NO. 2, P. 148-152.MINING ENGINEERING, 1989, ATACAMA BRINES PROVIDE BASIS FOR SOLAR EVAPORATION PROJECT, IN INDUSTRY NEWSWATCH:  V. 41, NO. 11, P. 1073-1074.BORIC P., RICARDO, DIAZ F., FELIPE, AND MAKSAEV J., VICTOR, 1990, GEOLOGIA Y YACIMIENTOS METALIFEROS DE LA REGION DE ANTOFAGASTA:  SERVICIO NACIONAL DE GEOLOGICA Y MINERIA -- CHILE BOLETIN 40, 246 P. ESCALA 1:500,000.STOERTZ, G.E., AND ERICKSEN, G.E., 1974, GEOLOGY OF SALARS IN NORTHERN CHILE:  U.S. GEOLOGICAL SURVEY PROFESSIONAL PAPER 811, 65 P."									D
60000725	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=60000725"	ISM0508		"Salar De Atacama (Minsal)"	-23.24753	-68.3328	SA	Chile			B	Lithium		"Potassium, Boron-Borates"	Unknown	"BRINES, LACUSTRINE SEDIMENTARY, EVAPORITE"	N	Prospect									Minsal		"KRAUSS, ULRICH H."					"SALAR DE ATACAMA DEPRESSION (GRABEN, BOLSN)"		"STOERTZ, G.E., AND ERICKSEN, G.E., 1974, GEOLOGY OF SALARS IN NORTHERN CHILE:  U.S.GEOL.SURVEY PROF PAPER 811, 65 P.EVANS, R.K.,1986, FURTHER DEVELOPMENTS OF THE SALAR DE ATACAMA, CHILE:  7TH.INDUSTRIAL MINERALS INTERNATIONAL CONGRESS, PAPERS, VOL 1, P. 87-9.1ANONYMOPUS,1988, RESULTATS DE L'EVALUATION DU SALAR DE ATACAMA:  INDUSTRIE ET DEVELOPPEMENT INTERNATIONAL, MARS 1988, P. 160.MORAGA, A., CHONG, G., FORTT, M.A., AND HENRIQUEZ, H., 1974,  ESTUDIO GEOLOGICO DEL SALAR DE ATACAMA, ANTOFAGASTA:  INST. INVEST. GEOL. BOL. 29, 59 P.CHONG DIAZ, G.,1984, DIE SALARE IN NORDCHILE; GEOLOGIE, STRUKUR UND GEOCHEMIE:  GEOTEKT. FORSCH. NO.67. STUTTGART, JULI 1984, 146 P."						1960			C
60000726	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=60000726"	ISM0509		"Salar De Atacama (Scl)"	-23.33082	-68.28279	SA	Chile			B	Lithium		"Potassium, Boron-Borates"	Unknown	BRINE	N	"Past Producer"									Scl		"KRAUSS, ULRICH H."					"ATACAMA DOWNWARP"		"VILA, T., 1986, GEOLOGIA DE LOS DEPOSITOS SALINOS DEL NORTE DE CHILE, IN GEOLOGIA Y RECURSOS MINERALES DE CHILE, VOL.2:  FRUTOS, J. ET AL. (EDITORS) SANTIAGO, 1986VILA, T., 1974, GEOLOGIA Y GEOQUIMICA DE LOS DEPOSITOS SALINOS ANDINOS, PROVINCIA DE ANTOFAGASTA:  THESIS UNIV. DE CHILE.  REV. GEOL. DE CHILE NO 2, 1975, P. 41-55.ERICKSEN, G., VINE, J., AND BALLON, R.,1977, CHEMICAL COMPOSITION AND DISTRIBUTION OF LITHIUM-RICH BRINES IN SALAR DE UYUNI AND NEARBY SALARS IN SOUTHWESTERN BOLIVIA, IN PENNER, S. (EDITOR) 1977, LITHIUM NEEDS AND RESOURCES. PERGAMON PRESS USAMORAGA, A., CHONG, G., FORTT, M.A., AND HENRIQUEZ, H., 1974,  ESTUDIO GEOLOGICO DEL SALAR DE ATACAMA, ANTOFAGASTA:  INST. INVEST. GEOL. BOL. 29, 59 P.CHONG DIAZ, G., 1984, DIE SALARE IN NORDCHILE; GEOLOGIE, STRUKUR UND GEOCHEMIE: GEOTEKT. FORSCH. NO. 67. STUTTGART, JULI 1984, 146 P.STOERTZ, G.E., AND ERICKSEN, G.E.,1974, GEOLOGY OF SALARS IN NORTHERN CHILE:-U.S.GEOL.SURVEY PROF. PAPER 811, 65 P."		1984				1960			C
