dep_id	url	mrds_id	mas_id	site_name	latitude	longitude	region	country	state	county	com_type	commod1	commod2	commod3	oper_type	dep_type	prod_size	dev_stat	ore	gangue	other_matl	orebody_fm	work_type	model	alteration	conc_proc	names	ore_ctrl	reporter	hrock_unit	hrock_type	arock_unit	arock_type	structure	tectonic	ref	yfp_ba	yr_fst_prd	ylp_ba	yr_lst_prd	dy_ba	disc_yr	prod_yrs	discr	score
10055346	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055346"	RL10010		"Da Chaidan Lake"	37.83162	94.99994	AS	China	"Qinghai [Tsinghai]"		B	"Boron-Borates, Magnesite, Potassium, Gypsum-Anhydrite"	"Halite, Lithium, Iodine, Bromine"		Unknown		M	Producer	"Borax, Gypsum, Halite, Ulexite"			STRATIFORM				"Evaporation, Sister Depsoits In Lake - Thermal Springs"	"Greater Quidam Lake Hu Q and Ch Are Interchangable In, Chinese-English"	"Lake Associated With Major Crustal Fault"	"R.P. Langford"		Evaporite		"Clay, Mud"	Rift	"Internal Drainage Basin"	"LYDAY, P.A., 1992, HISTORY OF BORON PRODUCTION AND PROCESSING:  INDUSTRIAL MINERALS, DECEMBER 1992, P. 19-35.BARKER, J.M. AND LEFOND, S.J., 1985, BORON AND BORATES: INTRODUCTION AND EXPLORATION TECHNIQUES; IN BARKER, J.M. & LEFOND, S.J. (EDS)  BORATES: ECONOMIC GEOLOGY AND PRODUCTION.  AMERICAN INSTITUTE OF MINING, METALLURGICAL AND PETROLEUM ENGINEERS, INC.  NEW YORK, P. 13-34., Z02804HARBEN, P.W.  AND BATES, R.L., 1990, INDUSTRIAL MINERALS GEOLOGY AND WORLD DEPOSITS: METAL BULLETIN PLC, LONDON.SUN, D. & LI, B., 1993, ORIGIN OF BORATES IN SALINE LAKES OF CHINA. IN KAKIHANA, H. AND OTHERS (EDS) - SEVENTH SYMPOSIUM ON SALT.  ELSEVIER, AMSTERDAM, VOL 1, 177-194,, O00008LYDAY, P.A., 1992, BORON:  U.S. BUREAU OF MINES ANNUAL REPORT, P. 1-11.LUI, 1993BARKER & LEFOND, 1984 (REFER REFERENCE PAGE 10 OF THIS RECORD)"									B
10055348	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055348"	RL10012		Chalaka	31.99868	82.5003	AS	China	"Xizang* (Tibet)"		B	"Boron-Borates, Sodium"	"Bromine, Potassium, Lithium, Magnesite, Rubidium, Thorium"		Unknown		S	Producer	"Borax, Tincalconite"							Evaporation	Cakala		"R.P. Langford"		Evaporite		"Clay, Mud"	Rift	"Internal Drainage Basin"	"GUANGHUA LUI, REPORT TO BHP MINERALS, 1993BARKER, J.M. & LEFOND, S.J.  BORON & BORATES: INTRODUCTION AND EXPLORATION TECHNIQUES.  IN BARKER  & LEFOND,  BORATES: ECONOMIC GEOLOGY AND PRODUCTION.  AMERICAN INSTITUTE OF MINING, METALLUGICAL AND PETROLEUM ENGINEERS INC.  NEW YORK, 13-34, 1985"									C
10134028	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10134028"		5700510081	"Keeryin Lithium Mine"	31.73698	101.94693	AS	China	"Sichuan [Szechwan]"		M	Lithium			Surface			Prospect											Other																E
10158583	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10158583"		5700510079	"Zhuosijia Lithium Mine"	30.38488	101.07866	AS	China	"Sichuan [Szechwan]"		M	Lithium			Surface			Prospect											"Coffman, Joe"																E
10182915	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10182915"		5700510086	"Jiajika Lithium Mine"	30.27128	101.31536	AS	China	"Sichuan [Szechwan]"		M	Lithium			Surface			Prospect											"Coffman, Joe"																E
10207162	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207162"		5700490001	"Koktokay Lithium Mine"	47.24788	89.61682	AS	China	"Xinjiang* [Sinkiang]"		M	"Beryllium, Cesium, Lithium, Rubidium, Tantalum"			Unknown			Producer									"Kulumut, Kugelagay, Kukelagay, Altay Pegmatites"		"Coffman, Joe"							"ANDRITZKY, G. AND KIPPENBERGER, C., 1987; INTERNAL REPORTBGR."		1946				1942			D
60000488	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=60000488"	I001030		"Qarhan Salt Plain"	37.99829	94.99994	AS	China	"Qinghai [Tsinghai]"		B	"Potassium, Sodium Sulfate, Boron-Borates"	Lithium	"Gypsum-Anhydrite, Halite"	Unknown	"LACUSTRINE BRINE"		Prospect									"Qarhan Basin, Chaerhan Dry Lake, Chaerhan Basin, Chaerhan Lake"									"LOWENSTEIN, T.K., SPENCER, R.J., AND PENGXI, AHANG, 1989, ORIGIN OF ANCIENT POTASH EVAPORITES:  CLUES FROM THE MODERN NONMARINE QAIDAM BASIN OF WESTERN CHINA:  SCIENCE, V. 245, P. 1090-1092.ROSKILL INFORMATION SERVICES LTD., 1993, THE ECONOMICS OF BORON 1993, 7TH ED.:  LONDON, ROSKILL INFORMATION SERVICES LTD., 156 P.HARBEN, P.W., AND BATES, R.L., 1990, INDUSTRIAL MINERALS GEOLOGY AND WORLD DEPOSITS:  LONDON, INDUSTRIAL MINERALS DIVISION METAL BULLETIN PLC, 312 P.LOWENSTEIN, T.K., SPENCER, R.J., YANG, WENBO, CASAS, ENRIQUE, ZHANG, PENGXI, ZHANG, BAOZHEN, FAN,  HAIBO, KROUSE, H.R., 1994, MAJOR-ELEMENT AND STABLE-ISOTOPE GEOCHEMISTRY OF FLUID INCLUSIONS IN HALITE, QAIDAM BASIN, WESTERN CHINA: IMPLICATIONS FOR LATE PLEISTOCENE/HOLOCENE BRINE EVOLUTION AND PALEOCLIMATES, IN ROSEN, M.R., ED., PALEOCLIMATE AND BASIN EVOLUTION OF PLAYA SYSTEMS:  GEOLOGICAL SOCIETY OF AMERICA SPECIAL PAPER 289, P. 19-32."									D
60000719	"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=60000719"	ISM0494		Koktokay	47.24788	89.61682	AS	China	"Xinjiang* [Sinkiang]"		B	"Niobium (Columbium), Cesium, Garnet, Beryllium, Mica, Quartz, Lithium, Tantalum"			Unknown	"PEGMATITE, ZONED"	Y	Producer									"Altay-Pegmatites, Kulumut, Kugelagay, Kukelagay"		"KRAUSS, ULRICH H."							"ANDRITZKY, G AND KIPPENBERGER,C.1987:INTERNAL REPORT BGR."		1946				1942			D
